"State","Candidate2012","Margin","Democrat"
"Alabama","Romney",22.3,FALSE
"Alaska","Romney",13.4,FALSE
"Arizona","Romney",10.6,FALSE
"Arkansas","Romney",23.6,FALSE
"California","Obama",20.6,TRUE
"Colorado","Obama",4.7,TRUE
"Connecticut","Obama",18,TRUE
"Delaware","Obama",18.6,TRUE
"D.C.","Obama",84.3,TRUE
"Florida","Obama",0.8,TRUE
"Georgia","Romney",8,FALSE
"Hawaii","Obama",42.8,TRUE
"Idaho","Romney",31.9,FALSE
"Illinois","Obama",16.2,TRUE
"Indiana","Romney",10.5,FALSE
"Iowa","Obama",5.6,TRUE
"Kansas","Romney",22.2,FALSE
"Kentucky","Romney",22.7,FALSE
"Louisiana","Romney",17.2,FALSE
"Maine","Obama",15.1,TRUE
"Maryland","Obama",25.1,TRUE
"Massachusetts","Obama",23.2,TRUE
"Michigan","Obama",9.5,TRUE
"Minnesota","Obama",7.7,TRUE
"Mississippi","Romney",12,FALSE
"Missouri","Romney",9.6,FALSE
"Montana","Romney",13.5,FALSE
"Nebraska","Romney",22.7,FALSE
"Nevada","Obama",6.6,TRUE
"New Hampshire","Obama",5.8,TRUE
"New Jersey","Obama",17.1,TRUE
"New Mexico","Obama",9.9,TRUE
"New York","Obama",26.6,TRUE
"North Carolina","Romney",2.2,FALSE
"North Dakota","Romney",19.8,FALSE
"Ohio","Obama",1.9,TRUE
"Oklahoma","Romney",33.6,FALSE
"Oregon","Obama",11.8,TRUE
"Pennsylvania","Obama",5.2,TRUE
"Rhode Island","Obama",27.2,TRUE
"South Carolina","Romney",10.6,FALSE
"South Dakota","Romney",18,FALSE
"Tennessee","Romney",20.5,FALSE
"Texas","Romney",15.8,FALSE
"Utah","Romney",47.9,FALSE
"Vermont","Obama",35.8,TRUE
"Virginia","Obama",3,TRUE
"Washington","Obama",14.1,TRUE
"West Virginia","Romney",26.8,FALSE
"Wisconsin","Obama",6.7,TRUE
"Wyoming","Romney",41.3,FALSE
